"taxon_id
(Info Flora)";"
Nom_scientifique";LIST_2021;Habitus;Name_DE;Nom_FR;Nome_IT;"
Jura";"
Plateau";"
Versant N Alpes";"
Alpes centrales O
";"
Alpes centrales E";Versant S Alpes;IFL 2014;"
Annexe 2.1 (ODE)";"
Annexe 2.2(ODE)"
1000030;Acacia dealbata Link;INV;Ba;Falsche Mimose;Mimosa blanchâtre;Mimosa;;*;*;;;**;WL;;X
1001150;Ailanthus altissima (Mill.) Swingle;INV;Ba;Götterbaum;Ailante;Ailanto;**;***;**;***;**;***;BL;X;
1003230;Ambrosia artemisiifolia L.;INV;Kr;Aufrechtes Traubenkraut;Ambroisie à feuilles d'armoise;Ambrosia con foglie di artemisia;**;***;**;**;**;***;BL;X;
1003320;Amorpha fruticosa L.;INV;St;Bastardindigo;Amorphe buissonnante;Indaco bastardo;*;*;*;;*;**;BL;;X
1005150;Artemisia verlotiorum Lamotte;INV;Kr;Verlotscher Beifuss;Armoise des frères Verlot;Assenzio dei fratelli Verlot;**;***;**;**;*;***;BL;;X
1005240;Asclepias syriaca L.;INV;Kr;Syrische Seidenpflanze;Asclépiade de Syrie;Albero della seta;*;**;*;*;*;*;BL;X;
1005710;Aster novi-belgii aggr. ;INV;Kr;Neubelgische Aster;Aster de la Nouvelle-Belgique;Astro americano;*;**;**;*;*;*;WL;;X
1005750;Aster novi-belgii aggr. - Aster ×salignus Willd. [Nur als Aggregat behandelt];INV;Kr;Weiden-Aster;Aster à feuilles de saule;Astro a foglie di salice;/;/;/;/;/;/;/;;X
1005760;Aster novi-belgii aggr. - Aster ×versicolor Willd. [Nur als Aggregat behandelt];INV;Kr;Gescheckte Aster;Aster versicolore;Astro cangiante;/;/;/;/;/;/;/;;X
1005680;Aster novi-belgii aggr. - Aster lanceolatus Willd. [Nur als Aggregat behandelt];INV;Kr;Lanzettblättrige Aster;Aster lancéolé;Astro lanceolato;/;/;/;/;/;/;/;;X
1005720;Aster novi-belgii aggr. - Aster novi-belgii L. [Nur als Aggregat behandelt];INV;Kr;Neubelgische Aster;Aster de la Nouvelle-Belgique;Astro americano;/;/;/;/;/;/;/;;X
